epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,253.138,0.66,0.58489,0.86271,0.90103,0.89544,0.9373,0.77947,0.63038,0.53655,0.85055,0.000307315,0.000307315,0.000307315
43,259.044,0.66091,0.57496,0.87007,0.88051,0.87543,0.92162,0.78149,0.64036,0.52232,0.8569,0.00028562,0.00028562,0.00028562
44,264.93,0.65827,0.55462,0.87362,0.86977,0.85607,0.91661,0.77441,0.63398,0.52259,0.85398,0.000264438,0.000264438,0.000264438
45,270.805,0.63907,0.55131,0.86253,0.82838,0.9682,0.91621,0.76726,0.63717,0.51576,0.85531,0.000243818,0.000243818,0.000243818
46,276.667,0.6314,0.52442,0.86003,0.90108,0.84416,0.89739,0.75576,0.62111,0.52039,0.84827,0.000223808,0.000223808,0.000223808
47,282.519,0.61599,0.51784,0.86125,0.86264,0.90141,0.93204,0.78223,0.62854,0.51154,0.85177,0.000204455,0.000204455,0.000204455
48,288.39,0.6155,0.50247,0.85098,0.84592,0.91988,0.93886,0.79776,0.62351,0.52561,0.84948,0.000185803,0.000185803,0.000185803
49,294.197,0.61915,0.51143,0.85641,0.865,0.95292,0.93766,0.78472,0.61037,0.49881,0.84783,0.000167897,0.000167897,0.000167897
50,300.097,0.60551,0.53219,0.85326,0.89053,0.91544,0.9259,0.77515,0.62601,0.49122,0.84976,0.000150779,0.000150779,0.000150779
51,306.174,0.59788,0.50412,0.848,0.86688,0.9489,0.9456,0.80438,0.62157,0.49208,0.84724,0.000134487,0.000134487,0.000134487
52,312.092,0.61242,0.49119,0.85949,0.85638,0.93915,0.93577,0.79614,0.60327,0.48832,0.84348,0.000119061,0.000119061,0.000119061
53,318.04,0.59027,0.47982,0.8551,0.86824,0.95398,0.93884,0.79413,0.60665,0.4796,0.84269,0.000104537,0.000104537,0.000104537
54,323.852,0.5931,0.4996,0.84687,0.85589,0.92048,0.92186,0.78573,0.61189,0.4836,0.84524,9.09473e-05,9.09473e-05,9.09473e-05
55,329.678,0.5509,0.47631,0.84045,0.88007,0.85303,0.90009,0.76537,0.61664,0.49125,0.84608,7.8325e-05,7.8325e-05,7.8325e-05
56,371.111,0.58134,0.45715,0.84199,0.86038,0.95101,0.93528,0.78953,0.61551,0.50393,0.84736,6.66993e-05,6.66993e-05,6.66993e-05
57,377.034,0.57542,0.44203,0.83592,0.85806,0.90382,0.91176,0.77068,0.61733,0.50798,0.84872,5.60972e-05,5.60972e-05,5.60972e-05
58,382.84,0.55201,0.44747,0.84183,0.86524,0.86691,0.89523,0.75375,0.60859,0.49464,0.84721,4.65435e-05,4.65435e-05,4.65435e-05
59,388.618,0.54605,0.4172,0.82725,0.8566,0.93422,0.93487,0.79146,0.60673,0.49156,0.84566,3.80607e-05,3.80607e-05,3.80607e-05
60,394.559,0.55138,0.41914,0.83611,0.86219,0.9662,0.9375,0.7917,0.60948,0.4814,0.84424,3.06683e-05,3.06683e-05,3.06683e-05
61,400.562,0.58654,0.44226,0.83737,0.87879,0.96555,0.93888,0.79681,0.60842,0.4715,0.84393,2.43838e-05,2.43838e-05,2.43838e-05
62,406.346,0.54134,0.41326,0.82355,0.89766,0.96562,0.93873,0.79588,0.60899,0.4678,0.84469,1.92218e-05,1.92218e-05,1.92218e-05
63,412.123,0.52618,0.40627,0.82766,0.8971,0.96006,0.93828,0.79466,0.60585,0.46493,0.84426,1.51943e-05,1.51943e-05,1.51943e-05
64,417.965,0.56234,0.41577,0.83571,0.89506,0.95775,0.93858,0.796,0.60465,0.4635,0.84362,1.23108e-05,1.23108e-05,1.23108e-05
65,423.786,0.55798,0.42859,0.82541,0.89351,0.95612,0.93896,0.80011,0.60484,0.46533,0.84311,1.0578e-05,1.0578e-05,1.0578e-05
